date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:33:31	26790/26790	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:33:29%20GMT	https://one.encodeinfotech.com/Masters/Countries	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Masters/Countries.html	(from https://one.encodeinfotech.com/)
18:33:33	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Nov%202018%2018:33:35%20GMT	https://one.encodeinfotech.com/Identity/Account/Manage	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Identity/Account/Manage.14.delayed	(from https://one.encodeinfotech.com/)
18:33:40	6518/6518	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:33:40%20GMT	https://one.encodeinfotech.com/Identity/Account/Login?ReturnUrl=%2FIdentity%2FAccount%2FManage	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Identity/Account/Login6ee2.html	(from https://one.encodeinfotech.com/)
18:33:43	6491/6491	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:33:43%20GMT	https://one.encodeinfotech.com/Identity/Account/Login	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Identity/Account/Login.html	(from https://one.encodeinfotech.com/)
18:33:45	6481/6481	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:33:46%20GMT	https://one.encodeinfotech.com/Identity/Account/Register	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Identity/Account/Register.html	(from https://one.encodeinfotech.com/)
18:33:48	5421/5421	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:33:48%20GMT	https://one.encodeinfotech.com/Identity/Account/ForgotPassword	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Identity/Account/ForgotPassword.html	(from https://one.encodeinfotech.com/)
18:33:52	114853/114853	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:33:51%20GMT	https://one.encodeinfotech.com/Components/GeneralElements	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Components/GeneralElements.html	(from https://one.encodeinfotech.com/)
18:33:55	31958/31958	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:33:56%20GMT	https://one.encodeinfotech.com/Components/FontIconsOpenIconic	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Components/FontIconsOpenIconic.html	(from https://one.encodeinfotech.com/)
18:34:00	31818/31818	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:34:00%20GMT	https://one.encodeinfotech.com/Components/FontIconsFontAwsome	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Components/FontIconsFontAwsome.html	(from https://one.encodeinfotech.com/)
18:34:03	38612/38612	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:34:04%20GMT	https://one.encodeinfotech.com/Components/ListViews	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Components/ListViews.html	(from https://one.encodeinfotech.com/)
18:34:05	27909/27909	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:34:05%20GMT	https://one.encodeinfotech.com/Components/TreeViews	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Components/TreeViews.html	(from https://one.encodeinfotech.com/)
18:34:14	38887/38887	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:34:10%20GMT	https://one.encodeinfotech.com/Components/SortableNestable	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Components/SortableNestable.html	(from https://one.encodeinfotech.com/)
18:34:18	39484/39484	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:34:18%20GMT	https://one.encodeinfotech.com/Tables/HTMLTable	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Tables/HTMLTable.html	(from https://one.encodeinfotech.com/)
18:34:22	43933/43933	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:34:21%20GMT	https://one.encodeinfotech.com/Tables/DataTable	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Tables/DataTable.html	(from https://one.encodeinfotech.com/)
18:34:23	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Nov%202018%2018:34:24%20GMT	https://one.encodeinfotech.com/Tables/DataTableServerMode	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Tables/DataTableServerMode.21.delayed	(from https://one.encodeinfotech.com/)
18:34:26	55971/55971	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:34:27%20GMT	https://one.encodeinfotech.com/Forms/BasicElements	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Forms/BasicElements.html	(from https://one.encodeinfotech.com/)
18:34:34	43881/43881	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:34:33%20GMT	https://one.encodeinfotech.com/Forms/InputGroup	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Forms/InputGroup.html	(from https://one.encodeinfotech.com/)
18:34:36	44506/44506	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:34:36%20GMT	https://one.encodeinfotech.com/Forms/FormValidations	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Forms/FormValidations.html	(from https://one.encodeinfotech.com/)
18:34:43	31044/31044	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:34:39%20GMT	https://one.encodeinfotech.com/Forms/CustomForms	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Forms/CustomForms.html	(from https://one.encodeinfotech.com/)
18:34:45	112479/112479	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:34:46%20GMT	https://one.encodeinfotech.com/Forms/Select2	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Forms/Select2.html	(from https://one.encodeinfotech.com/)
18:34:53	28567/28567	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:34:49%20GMT	https://one.encodeinfotech.com/Forms/Typehead	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Forms/Typehead.html	(from https://one.encodeinfotech.com/)
18:34:56	32947/32947	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:34:56%20GMT	https://one.encodeinfotech.com/Forms/Pickers	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Forms/Pickers.html	(from https://one.encodeinfotech.com/)
18:34:58	26136/26136	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:34:59%20GMT	https://one.encodeinfotech.com/Forms/HTMLEditors	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Forms/HTMLEditors.html	(from https://one.encodeinfotech.com/)
18:35:02	30589/30589	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:35:00%20GMT	https://one.encodeinfotech.com/Forms/Slider	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Forms/Slider.html	(from https://one.encodeinfotech.com/)
18:35:03	23936/23936	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:35:04%20GMT	https://one.encodeinfotech.com/Forms/Spinner	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Forms/Spinner.html	(from https://one.encodeinfotech.com/)
18:35:08	26085/26085	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:35:07%20GMT	https://one.encodeinfotech.com/Forms/Uploader	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Forms/Uploader.html	(from https://one.encodeinfotech.com/)
18:35:12	25761/25761	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:35:12%20GMT	https://one.encodeinfotech.com/Forms/Steps	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Forms/Steps.html	(from https://one.encodeinfotech.com/)
18:35:16	36030/36030	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:35:17%20GMT	https://one.encodeinfotech.com/Charts/ChartJs	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Charts/ChartJs.html	(from https://one.encodeinfotech.com/)
18:35:21	27560/27560	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:35:20%20GMT	https://one.encodeinfotech.com/Charts/MorrisCharts	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Charts/MorrisCharts.html	(from https://one.encodeinfotech.com/)
18:35:24	50005/50005	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:35:24%20GMT	https://one.encodeinfotech.com/Charts/FlotCharts	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Charts/FlotCharts.html	(from https://one.encodeinfotech.com/)
18:35:26	28913/28913	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:35:27%20GMT	https://one.encodeinfotech.com/Charts/HighchartTable	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/Charts/HighchartTable.html	(from https://one.encodeinfotech.com/)
18:35:29	36462/36462	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:35:29%20GMT	https://one.encodeinfotech.com/User/Tasks	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/User/Tasks.html	(from https://one.encodeinfotech.com/)
18:35:33	34822/34822	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:35:32%20GMT	https://one.encodeinfotech.com/User/Projects	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/User/Projects.html	(from https://one.encodeinfotech.com/)
18:35:39	34350/34350	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2018:35:39%20GMT	https://one.encodeinfotech.com/User/Activities	C:/Users/Bhra%20Khoby/Desktop/Actual/one.encodeinfotech.com/User/Activities.html	(from https://one.encodeinfotech.com/)
